cell_name,cell_type,1250,1562,1953,2441,3052,3815,4768,5960,7451,9312,11640,14550,18188,22735,28419,35523,44304,55400,69250,86562,108203,135254,168442,200000
ITL23__689312221_stage_1_seed_2_hof_0,ITL23,36.6875,39.375,42.0625,44.6875,47.375,50.625,53.9375,57.625,61.6875,65.875,70.8125,76.375,82.5625,89.6875,97.8125,106.9375,117.8125,130,144.125,159.375,176.3125,194.6875,214.5,232.6875
ITL23__689323433_stage_1_seed_1_hof_0,ITL23,31.5625,34.4375,37.375,40.6875,43.625,47.1875,51.0625,55.25,59.6875,64.25,69.8125,74.9375,80.875,87.125,94.4375,101.75,109.4375,118.1875,127,137,148.4375,161.6875,176.5,191.0625
ITL23__689323433_stage_1_seed_2_hof_0,ITL23,32.5,35,37.6875,40.8125,44.0625,48.25,52.3125,57.3125,63,69.6875,78.6875,89.625,105.0625,125.8125,149.8125,172.9375,196.625,222.875,NaN,NaN,NaN,NaN,NaN,NaN
ITL23__689360253_stage_1_seed_1_hof_0,ITL23,28.6875,31.0625,33.75,36.75,39.625,42.9375,46,49.625,53.4375,57.5,61.625,66.0625,71.25,75.3125,81.5,88.875,97.6875,108.75,124.3125,146.75,181.25,231.875,NaN,NaN
ITL23__689360253_stage_1_seed_2_hof_0,ITL23,30.6875,33.25,35.6875,38.3125,41,44,47,50.1875,53.4375,57.0625,61,65.0625,69.3125,73.8125,78.875,83.8125,89.125,94,99.75,106.125,113.1875,121.5,131.125,140.25
ITL23__695494556_stage_1_seed_1_hof_0,ITL23,37.25,42.0625,46.5625,51.4375,56.125,61.5625,66.9375,72.75,78.625,84.875,91.4375,97.9375,104.6875,111.8125,118.75,126.375,133.875,141.625,149.5625,157.875,167.3125,178.125,189.375,200.375
ITL23__695494556_stage_1_seed_2_hof_0,ITL23,31.125,34,36.9375,39.9375,43,46.3125,49.8125,53.5625,58,62.25,67.25,72.4375,78.25,84.25,91,97.875,105.0625,112.3125,120.4375,128.375,136.8125,145.6875,155.4375,163.625
ITL23__695521538_stage_1_seed_1_hof_0,ITL23,36.1875,40.9375,46.0625,51.3125,56.5625,62.0625,67.75,73.5,79.5625,85.875,92.25,98.875,105.6875,112.6875,119.1875,125.6875,132.4375,138.75,145.25,151.4375,158.75,168.0625,180,194.25
ITL23__695521538_stage_1_seed_2_hof_0,ITL23,34.375,37.3125,40.1875,43.0625,45.875,48.6875,51.75,54.6875,57.875,60.875,64.25,67.75,71.375,74.875,78.5,82.6875,86.625,90.375,93.875,97.1875,101.3125,105.9375,110.625,115.3125
ITL23__695546566_stage_1_seed_1_hof_0,ITL23,29.1875,32.125,35.0625,38.375,41.125,45.0625,48.25,52.0625,56.125,60.5,65.0625,69.875,74.75,80,85.1875,90.625,96.0625,101.75,107.125,113.125,119.0625,125.625,132.375,138.1875
