cell_name,cell_type,basal_max_fit_x,basal_max_fit_y,apical_max_fit_x,apical_max_fit_y
ITL23__758311336_stage_1_seed_2_hof_0,ITL23,165,0.581699073360657,64,0.582711024543749
ITL23__758319694_stage_1_seed_1_hof_0,ITL23,145,0.722422965121745,152,0.707870653862876
ITL23__758319694_stage_1_seed_2_hof_0,ITL23,149,0.584874996655934,14,0.30325736157019
ITL23__758323401_stage_1_seed_1_hof_0,ITL23,135,0.664134930690014,150,0.673384882447462
ITL23__758816993_stage_1_seed_1_hof_0,ITL23,11,0.237382249693522,115,0.649095337067041
ITL23__758816993_stage_1_seed_2_hof_0,ITL23,106,0.697066546765575,148,0.69924116317916
ITL23__758967755_stage_1_seed_1_hof_0,ITL23,197,0.701212249746479,207,0.711005294676525
ITL23__758967755_stage_1_seed_2_hof_0,ITL23,120,0.682883909243713,137,0.68156352070944
ITL23__758996848_stage_1_seed_2_hof_0,ITL23,72,0.608653070593119,11,0.665437113621243
ITL23__767415421_stage_1_seed_1_hof_0,ITL23,74,0.695612116788482,66,0.699171881989328
ITL23__767415421_stage_1_seed_2_hof_0,ITL23,70,0.702230252683161,64,0.705572170003444
ITL23__767433014_stage_1_seed_1_hof_0,ITL23,96,0.702736454673913,17,0.292273014873254
ITL23__767433014_stage_1_seed_2_hof_0,ITL23,132,0.698314432493604,134,0.699557056422208
ITL23__767829778_stage_1_seed_1_hof_0,ITL23,142,0.637109515824984,14,0.356833458357778
ITL23__768819569_stage_1_seed_1_hof_0,ITL23,132,0.622184796912211,131,0.628160762729168
ITL23__768819569_stage_1_seed_2_hof_0,ITL23,106,0.423749431653193,105,0.432361360838368
ITL23__768848167_stage_1_seed_1_hof_0,ITL23,151,0.722237989676878,173,0.718531460985418
ITL23__768848167_stage_1_seed_2_hof_0,ITL23,110,0.686420197237535,162,0.682743758443364
ITL23__768867010_stage_1_seed_1_hof_0,ITL23,128,0.564052716556721,36,0.350967494715791
ITL23__768885440_stage_1_seed_1_hof_0,ITL23,136,0.703342406260918,181,0.711356376627853
ITL23__768885440_stage_1_seed_2_hof_0,ITL23,104,0.732393371476697,115,0.731781371858404
ITL23__769228370_stage_1_seed_1_hof_0,ITL23,67,0.699594553472791,94,0.70127122306694
ITL23__769228370_stage_1_seed_2_hof_0,ITL23,103,0.63320693061358,106,0.636213018316648
ITL23__770255641_stage_1_seed_1_hof_0,ITL23,147,0.694221224470971,132,0.693126867053775
ITL23__770268817_stage_1_seed_1_hof_0,ITL23,136,0.72291492231063,146,0.729526162448321
ITL23__770275864_stage_1_seed_1_hof_0,ITL23,69,0.549792955480176,37,0.80183744438768
